sitename,ce_opt
AU-DaS,33.85771560668945
AU-Dry,29.1683349609375
AU-How,23.30661392211914
AU-Stp,22.31462860107422
BE-Vie,18.436872482299805
DE-Hai,19.879758834838867
DE-Tha,11.042083740234375
FI-Hyy,13.476953506469727
FR-Pue,33.58717346191406
NL-Loo,21.77354621887207
RU-Fyo,14.919839859008789
US-Ha1,16.18236541748047
US-MMS,17.535070419311523
US-SRG,43.05611038208008
US-Ton,25.921842575073242
US-Var,38.54709243774414
